,cep,cidade,uf,cep_5_digitos
653,69911036,Rio Branco,AC,69911
654,64014130,Teresina,PI,64014
655,64180991,Esperantina,PI,64180
656,37555030,Pouso Alegre,MG,37555
657,27916300,Macaé,RJ,27916
658,76824326,Porto Velho,RO,76824
659,90220004,Porto Alegre,RS,90220
660,11463220,Guarujá,SP,11463
661,29850970,Ecoporanga,ES,29850
662,93230478,Sapucaia do Sul,RS,93230
663,76812498,Porto Velho,RO,76812
664,88330281,Balneário Camboriú,SC,88330
665,79841612,Dourados,MS,79841
666,69024000,Manaus,AM,69024
667,08485030,São Paulo,SP,08485
668,69101152,Itacoatiara,AM,69101
669,26178060,Belford Roxo,RJ,26178
670,07182000,Guarulhos,SP,07182
671,94423700,Viamão,RS,94423
672,76824708,Porto Velho,RO,76824
673,06013006,Osasco,SP,06013
674,08774605,Mogi das Cruzes,SP,08774
675,76876457,Ariquemes,RO,76876
676,78200745,Cáceres,MT,78200
677,95670976,Gramado,RS,95670
678,09668100,São Bernardo do Campo,SP,09668
679,78070000,Cuiabá,MT,78070
680,29143320,Cariacica,ES,29143
681,76824002,Porto Velho,RO,76824
682,55817141,Carpina,PE,55817
683,78565970,Nova Bandeirantes,MT,78565
684,21380245,Rio de Janeiro,RJ,21380
685,78508971,Nova Guarita,MT,78508
686,95020340,Caxias do Sul,RS,95020
687,98360970,Rodeio Bonito,RS,98360
688,33045480,Santa Luzia,MG,33045
689,13451230,Santa Bárbara D'Oeste,SP,13451
690,84267450,Telêmaco Borba,PR,84267
691,38748682,Patrocínio,MG,38748
692,75256005,Senador Canedo,GO,75256
693,64057700,Teresina,PI,64057
694,75908170,Rio Verde,GO,75908
695,13406500,Piracicaba,SP,13406
696,14701402,Bebedouro,SP,14701
697,11534060,Cubatão,SP,11534
698,05463070,São Paulo,SP,05463
699,73358000,Brasília,DF,73358
700,74653050,Goiânia,GO,74653
701,85200970,Pitanga,PR,85200
702,07910005,Francisco Morato,SP,07910
703,87024210,Maringá,PR,87024
704,07794190,Cajamar,SP,07794
705,98500970,Tenente Portela,RS,98500
706,79208971,Cipolândia,MS,79208
707,78736129,Rondonópolis,MT,78736
708,14460970,Cristais Paulista,SP,14460
709,18619234,Botucatu,SP,18619
710,41351525,Salvador,BA,41351
711,15210970,Nova Aliança,SP,15210
712,55630970,Pombos,PE,55630
713,79745970,Novo Horizonte do Sul,MS,79745
714,53290401,Olinda,PE,53290
715,83660970,Balsa Nova,PR,83660
716,77816340,Araguaína,TO,77816
717,88380970,Balneário Piçarras,SC,88380
718,57475971,Pariconha,AL,57475
719,41219650,Salvador,BA,41219
720,58480970,Cabaceiras,PB,58480
