,cep_5_digitos,cidade,uf,lat,lon
355,23040,Rio de Janeiro,RJ,-22.9110137,-43.2093727
356,14070,Ribeirão Preto,SP,-21.178333,-47.8066671
357,60331,Fortaleza,CE,-3.7304512,-38.5217989
358,89683,Ponte Serrada,SC,-26.8708566,-52.0164089
359,13400,Piracicaba,SP,-22.72528,-47.64917
360,79842,Dourados,MS,-22.2206145,-54.812208
361,14450,Jeriquara,SP,-20.3104773,-47.5915669
362,31030,Belo Horizonte,MG,-19.9227318,-43.9450948
363,17014,Bauru,SP,-22.3218102,-49.0705863
364,13490,Cordeirópolis,SP,-22.4768324,-47.4550551
365,50660,Recife,PE,-8.0584933,-34.8848193
366,98895,Senador Salgado Filho,RS,-28.0270233,-54.5435136
367,40130,Salvador,BA,-12.9822499,-38.4812772
368,64007,Teresina,PI,-5.0896403,-42.809588
369,25270,Duque de Caxias,RJ,-22.7896225,-43.309929
370,29620,Itarana,ES,-19.8707305,-40.8749826
371,90640,Porto Alegre,RS,-30.0324999,-51.2303767
372,82900,Curitiba,PR,-25.4295963,-49.2712724
373,38307,Ituiutaba,MG,-18.9691887,-49.4639335
374,87690,Jardim Olinda,PR,-22.5520625,-52.036373
375,88580,Campo Belo do Sul,SC,-27.822439850000002,-50.73974756671906
376,29030,Vitória,ES,-20.3200917,-40.3376682
377,65758,São Roberto,MA,-5.0188478,-44.9925058
378,58840,Pombal,PB,-6.7711315,-37.7988646
379,49130,Riachuelo,SE,-22.9026953,-43.255175
380,27690,Manuel Duarte,RJ,-22.0856999,-43.5590532
381,24900,Maricá,RJ,-22.9057478,-42.789831397132616
382,98805,Santo Ângelo,RS,-28.3000481,-54.2669971
383,89248,Garuva,SC,-26.0294904,-48.8545202
384,39802,Teófilo Otoni,MG,-17.8579267,-41.5081533
385,59213,Japi,RN,-6.4634348,-35.9456879
386,38740,Patrocínio,MG,-18.9408294,-46.9926624
387,77675,Marianópolis do Tocantins,TO,-9.7962503,-49.6547174
388,12904,Bragança Paulista,SP,-22.9520235,-46.5418586
389,91740,Porto Alegre,RS,-30.0324999,-51.2303767
390,18245,Campina do Monte Alegre,SP,-23.5935653,-48.4801876
391,58275,Itapororoca,PB,-6.8283007,-35.244782
392,71742,Brasília,DF,-15.7934036,-47.8823172
393,22281,Rio de Janeiro,RJ,-22.9110137,-43.2093727
394,13919,Jaguariúna,SP,-22.70374,-46.985062
395,86032,Londrina,PR,-23.3112878,-51.1595023
396,16700,Guararapes,SP,-21.2542739,-50.6440083
397,25880,Sapucaia,RJ,-21.9946569,-42.9137975
398,81850,Curitiba,PR,-25.4295963,-49.2712724
399,22061,Rio de Janeiro,RJ,-22.9110137,-43.2093727
400,69058,Manaus,AM,-3.1316333,-59.9825041
401,05436,São Paulo,SP,-23.5506507,-46.6333824
402,40210,Salvador,BA,-12.9822499,-38.4812772
403,41262,Salvador,BA,-12.9822499,-38.4812772
404,36091,Juiz de Fora,MG,-21.7609533,-43.3501129
405,75945,Edealina,GO,-17.4239419,-49.6644011
406,69620,Amaturá,AM,-3.3640509,-68.1994689
407,95660,Três Coroas,RS,-29.5155023,-50.7770635
408,27333,Barra Mansa,RJ,-22.5394843,-44.1735129
409,50760,Recife,PE,-8.0584933,-34.8848193
410,89120,Timbó,SC,-26.8282737,-49.270641
411,15625,Meridiano,SP,-20.3547223,-50.172574
412,04424,São Paulo,SP,-23.5506507,-46.6333824
413,15132,Mirassol,SP,-20.8141411,-49.507449
414,78721,Rondonópolis,MT,-16.4603533,-54.6397099
415,13083,Campinas,SP,-22.90556,-47.06083
416,35285,Boa União de Itabirinha,MG,-18.4995,-41.3
417,39600,Araçuaí,MG,-16.8484451,-42.0661868
418,78734,Rondonópolis,MT,-16.4603533,-54.6397099
419,24451,São Gonçalo,RJ,-22.8219014,-43.0309252
420,59990,Rafael Fernandes,RN,-6.1892485,-38.2238647
421,39725,Santa Efigênia de Minas,MG,-18.8275746,-42.4400734
422,75355,Varjão,GO,-17.045397,-49.632599
423,25901,Magé,RJ,-22.6604221,-43.0426162
424,39565,Rubelita,MG,-16.4067495,-42.2623615
425,05608,São Paulo,SP,-23.5506507,-46.6333824
426,85450,Campo Bonito,PR,-25.0328004,-52.992976
427,13050,Campinas,SP,-22.90556,-47.06083
428,71699,Brasília,DF,-15.7934036,-47.8823172
429,20960,Rio de Janeiro,RJ,-22.9110137,-43.2093727
430,99525,Santo Antônio do Planalto,RS,-28.3991804,-52.6910319
431,91250,Porto Alegre,RS,-30.0324999,-51.2303767
432,95900,Lajeado,RS,-29.4671522,-51.9624046
433,59275,Ipiranga,RN,-6.3341981999999994,-35.79031321466272
434,37014,Varginha,MG,-21.5565914,-45.4340674
435,63901,Quixadá,CE,-4.9706021,-39.0158403
436,27288,Volta Redonda,RJ,-22.5225497,-44.1040128
437,15507,Votuporanga,SP,-20.4252908,-49.972028
438,88190,Governador Celso Ramos,SC,-27.317161,-48.557608
439,62390,Croatá,CE,-4.4156199,-40.9048081
440,95050,Caxias do Sul,RS,-29.1684951,-51.1796197
441,60812,Fortaleza,CE,-3.7304512,-38.5217989
442,13643,Pirassununga,SP,-21.9980468,-47.4280861
443,15041,São José do Rio Preto,SP,-20.8125851,-49.3804212
444,25555,São João de Meriti,RJ,-22.8043744,-43.3724125
445,49072,Aracaju,SE,-10.9162061,-37.0774655
446,24917,Maricá,RJ,-22.9057478,-42.789831397132616
447,34800,Caeté,MG,-19.897777,-43.670278
448,18202,Itapetininga,SP,-23.588607,-48.048326
449,48000,Alagoinhas,BA,-12.133526,-38.420772
450,13412,Piracicaba,SP,-22.72528,-47.64917
451,21021,Rio de Janeiro,RJ,-22.9110137,-43.2093727
452,95727,Boa Vista do Sul,RS,-29.3510488,-51.6779679
453,40260,Salvador,BA,-12.9822499,-38.4812772
454,19640,Iepê,SP,-22.660165,-51.077881
455,11714,Praia Grande,SP,-24.005833,-46.402778
456,25260,Duque de Caxias,RJ,-22.7896225,-43.309929
457,24725,São Gonçalo,RJ,-22.8219014,-43.0309252
458,18075,Sorocaba,SP,-23.5003451,-47.4582864
459,97420,São Vicente do Sul,RS,-29.688161,-54.682643
460,76997,Cerejeiras,RO,-13.186987,-60.816836
461,65900,Imperatriz,MA,-5.5269279,-47.478115
462,29707,Colatina,ES,-19.5346732,-40.6287836
463,06421,Barueri,SP,-23.5112184,-46.8764612
464,89237,Joinville,SC,-26.3044898,-48.8486726
465,17479,Lucianópolis,SP,-22.4310459,-49.5219241
466,21371,Rio de Janeiro,RJ,-22.9110137,-43.2093727
467,31840,Belo Horizonte,MG,-19.9227318,-43.9450948
468,29151,Cariacica,ES,-20.263202,-40.416549
469,25922,Magé,RJ,-22.6604221,-43.0426162
470,67201,Marituba,PA,-1.3595306,-48.3361504
471,13390,Rio das Pedras,SP,-22.8441256,-47.6065667
472,69370,São Luiz,RR,1.0170607,-60.0371719
473,28085,Campos dos Goytacazes,RJ,-21.7558619,-41.3326895
474,71050,Brasília,DF,-15.7934036,-47.8823172
475,13510,Santa Gertrudes,SP,-22.4590897,-47.532034
476,80061,Curitiba,PR,-25.4295963,-49.2712724
477,91791,Porto Alegre,RS,-30.0324999,-51.2303767
